specialty,topic,questions,directTableMapped,productionEligibleMapped
recon,hip-anatomy,2,0,0
spine,sacroiliitis,2,0,0
hand,human-bite,2,0,0
basic-science,deep-vein-thrombosis,2,0,0
recon,tka-aseptic-loosening,2,0,0
pediatrics,medial-clavicle-physeal-fracture,2,0,0
recon,tka-postoperative-rehabilitation-and-outpatient-management,2,0,0
pediatrics,pediatric,2,0,0
hand,gymnast-s-wrist-distal-radial-physeal-stress-syndrome,2,0,0
pediatrics,calcaneovalgus-foot,2,0,0
spine,spine-biomechanics,2,0,0
shoulder-elbow,ac-arthritis,2,0,0
recon,tha-postoperative-inpatient-management,2,0,0
pediatrics,clavicle-shaft-fracture-pediatric,2,0,0
trauma,morel-lavallee-lesion,2,0,0
unknown,hip-posterior-approach-moore-or-southern,2,0,0
unknown,tibia-posterolateral-approach,2,0,0
unknown,hip-medial-approach,2,0,0
unknown,volar-approach-to-radius-henry,2,0,0
unknown,stoppa-approach-to-acetabulum,2,0,0
shoulder-elbow,scapulothoracic-dyskinesis,1,0,0
knee-sports,athletic-pubalgia-and-adductor-strain,1,0,0
hand,congenital-clasped-thumb,1,0,0
foot-ankle,acquired-spastic-equinovarus-deformity,1,0,0
knee-sports,proximal-tib-fib-dislocation,1,0,0
anatomy,abductor-digiti-minimi,1,0,0
pathology,malignant-peripheral-nerve-sheath-tumor,1,0,0
pediatrics,congenital-pseudoarthrosis-clavicle,1,0,0
pediatrics,friedreich-s-ataxia,1,0,0
spine,cervical-myelopathy-tibial-shaft-fractures,1,0,0
shoulder-elbow,acromioclavicular-joint,1,0,0
anatomy,biceps-femoris-short-head,1,0,0
hand,skin-grafting,1,0,0
anatomy,extensor-digitorum-longus,1,0,0
pathology,angiosarcoma,1,0,0
pediatrics,popliteal-cyst-in-children,1,0,0
pediatrics,gaucher-disease,1,0,0
pathology,focal-fibrocartilaginous-dysplasia,1,0,0
hand,digital-artery-aneurysm,1,0,0
knee-sports,popliteal-artery-entrapment-syndrome,1,0,0
knee-sports,iliac-crest-contusion-hip-pointer,1,0,0
shoulder-elbow,thoracic-outlet-syndrome,1,0,0
trauma,intertrochanteric-fractures-tka-patellofemoral,1,0,0
pediatrics,tibial-deficiency,1,0,0
hand,pisiform-fracture,1,0,0
recon,hip-arthrodesis,1,0,0
anatomy,other-anatomy-topics,1,0,0
knee-sports,rectus-femoris-strain,1,0,0
spine,pseudosubluxation-the-cervical-spine,1,0,0
pathology,periosteal-chondromas,1,0,0
pathology,tumoral-calcinosis,1,0,0
hand,macrodactyly-local-gigantism,1,0,0
pediatrics,femoral-anteversion-tka-patellofemoral,1,0,0
foot-ankle,subtalar-arthritis,1,0,0
basic-science,scurvy,1,0,0
anatomy,lumbrical-muscles,1,0,0
pediatrics,bladder-exstrophy,1,0,0
anatomy,forearm-blood-supply,1,0,0
pathology,leiomyosarcoma,1,0,0
pathology,differential-groups,1,0,0
basic-science,lead-toxicity,1,0,0
pediatrics,congenital-curly-toe,1,0,0
anatomy,sartorius,1,0,0
shoulder-elbow,luxatio-erecta-inferior-glenohumeral-joint-dislocation,1,0,0
anatomy,lumbosacral-plexus,1,0,0
knee-sports,piriformis-muscles-syndrome,1,0,0
pediatrics,fractures-pediatric,1,0,0
recon,tka-polyethylene-wear-and-manufacturing-radial-head-and-neck,1,0,0
knee-sports,knee-medial-parapatellar-approach,1,0,0
recon,tka-heterotopic-ossification,1,0,0
spine,cervical-lateral-mass-fracture-separation,1,0,0
knee-sports,osteitis-pubis,1,0,0
shoulder-elbow,arthroplasty,1,0,0
trauma,material-properties-mtp-dislocations,1,0,0
hand,syndactyly,1,0,0
shoulder-elbow,shoulder-imaging,1,0,0
pathology,neuroblastoma,1,0,0
shoulder-elbow,tka-postoperative-rehabilitation-and-outpatient-management-reverse-shoulder,1,0,0
anatomy,anterior-interosseous-nerve,1,0,0
basic-science,hypoparathyroidism,1,0,0
hand,extensor-tendon-compartments,1,0,0
recon,knee-biomechanics,1,0,0
hand,thromboangiitis-obliterans-buerger-s-disease,1,0,0
basic-science,intramembranous-bone-formation,1,0,0
anatomy,ulnar-nerve,1,0,0
spine,cerebral-palsy-spinal-disorders,1,0,0
anatomy,gluteus-medius,1,0,0
knee-sports,rib-stress-fracture,1,0,0
pediatrics,psoas-abscess-pediatric,1,0,0
basic-science,collagen,1,0,0
spine,thoracolumbar-fracture-dislocation,1,0,0
shoulder-elbow,posterior-to-shoulder,1,0,0
hand,felon,1,0,0
spine,traumatic-spondylolisthesis-axis-hangman-s-fracture,1,0,0
hand,nonunion,1,0,0
spine,scoliosis,1,0,0
pediatrics,achondroplasia-scaphoid-fracture,1,0,0
recon,knee-osteoarthritis-adolescent-idiopathic,1,0,0
pathology,other-pathology-topics,1,0,0
trauma,neonatal-forearm-compartment-syndrome,1,0,0
knee-sports,gustilo-classification-hip-labral-tear,1,0,0
hand,deep-space-and-collar-button-infections,1,0,0
anatomy,teres-major,1,0,0
hand,dog-and-cat-bites,1,0,0
basic-science,multiple-sclerosis,1,0,0
anatomy,quadrangular-space-triangular-space-triangular-interval,1,0,0
pediatrics,rett-syndrome,1,0,0
hand,radiocarpal-fracture-dislocation,1,0,0
basic-science,hemophilic-arthropathy,1,0,0
hand,wrist-trauma-radiographic-evaluation,1,0,0
pediatrics,chronic-recurrent-multifocal-osteomyelitis-crmo,1,0,0
spine,spondylolisthesis,1,0,0
trauma,gun-shot-wounds-pediatric-spondylolysis-and,1,0,0
hand,cleft-hand,1,0,0
recon,tka-metal-hypersensitivity,1,0,0
recon,idiopathic-transient-osteoporosis-the-hip-itoh,1,0,0
shoulder-elbow,syndrome-brachial-neuritis-parsonage-turner,1,0,0
foot-ankle,deep-peroneal-nerve-entrapment,1,0,0
spine,neck-and-upper-extremity-spine-exam,1,0,0
spine,injuries,1,0,0
hand,atypical-mycobacterium-infections,1,0,0
hand,nerve-conduction-studies,1,0,0
pediatrics,dysplasia-epiphysealis-hemimelica-trevor-s-disease,1,0,0
shoulder-elbow,elbow-physical-exam,1,0,0
hand,flexor-carpi-radialis-tendinitis,1,0,0
pediatrics,syndactyly-the-toes,1,0,0
spine,spinal-cord-tumors,1,0,0
hand,preiser-s-disease-scaphoid-avn,1,0,0
pediatrics,sacral-agenesis,1,0,0
basic-science,scleroderma,1,0,0
pediatrics,metatarsus-adductus,1,0,0
basic-science,pseudogout-cppd,1,0,0
pediatrics,developmental-coxa-vara,1,0,0
pediatrics,local-gigantism,1,0,0
pediatrics,brachymetatarsia,1,0,0
pediatrics,si-joint-infection-pediatric,1,0,0
knee-sports,history-and-physical-exam-the-knee,1,0,0
basic-science,amyotrophic-lateral-sclerosis-als,1,0,0
shoulder-elbow,olecranon-stress-fracture,1,0,0
spine,cervical-spondylosis,1,0,0
trauma,exercise-science-femoral-shaft-fractures,1,0,0
knee-sports,patellofemoral-joint,1,0,0
hand,intrinsic-minus-hand-claw-hand,1,0,0
trauma,extensile-lateral-approach-to-calcaneus,1,0,0
foot-ankle,orthotics,1,0,0
foot-ankle,blood-supply-to-the-foot,1,0,0
pediatrics,epiphyseal-bracket,1,0,0
pediatrics,polydactyly-foot,1,0,0
trauma,foot-compartment-syndrome,1,0,0
spine,neuromuscular-scoliosis,1,0,0
hand,epidermal-inclusion-cyst,1,0,0
hand,swan-neck-deformity,1,0,0
hand,digital-collateral-ligament-injury,1,0,0
hand,lunotriquetral-ligament-injury-and-visi,1,0,0
spine,subaxial-cervical-vertebral-body-fractures,1,0,0
knee-sports,cervical-myelopathy-acl-tear,1,0,0
spine,cervical-adjacent-segment-disease,1,0,0
shoulder-elbow,biomechanics,1,0,0
knee-sports,plicae,1,0,0
trauma,calcaneus-fractures-incomplete-spinal-cord,1,0,0
hand,physical-exam-the-hand,1,0,0
knee-sports,iliotibial-band-friction-syndrome,1,0,0
recon,tka-kinematic-alignment,1,0,0
shoulder-elbow,clavicle-fractures-midshaft-elbow-anatomy-and,1,0,0
knee-sports,syndrome,1,0,0
pediatrics,beckwith-wiedemann-syndrome,1,0,0
pathology,leukemia,1,0,0
knee-sports,proximal-tibiofibular-joint-ganglion-cysts,1,0,0
pediatrics,congenital-dislocation-patella,1,0,0
trauma,flail-chest,1,0,0
recon,arthroplasty-preoperative-medical-optimization,1,0,0
pathology,dermatofibrosarcoma-protuberans,1,0,0
shoulder-elbow,rotator-cuff-tears-total-shoulder-arthroplasty,1,0,0
hand,wrist-arthritis,1,0,0
knee-sports,quadriceps-tendonitis,1,0,0
pathology,plantar-fibromatosis-ledderhose-disease,1,0,0
trauma,leg-compartment-syndrome-femoral-shaft-fractures,1,0,0
pediatrics,spondyloepiphyseal-dysplasia-sed,1,0,0
pediatrics,congenital-hallux-varus-atavistic-great-toe,1,0,0
spine,syrinx-and-syringomyelia,1,0,0
unknown,talar-neck-fractures-osteogenesis-imperfecta,1,0,0
unknown,orthopaedic-implants-ain-compressive,1,0,0
unknown,neuropathy,1,0,0
unknown,tka-patellofemoral-alignment-hip-resurfacing,1,0,0
unknown,sprengel-s-deformity-rickets,1,0,0
unknown,dorsal-approach-to-radius-thompson,1,0,0
unknown,femur-anteromedial-approach,1,0,0
unknown,prosthetic-joint-infection,1,0,0
unknown,knee-arthroscopy,1,0,0
unknown,adult-isthmic-spondylolisthesis,1,0,0
unknown,hip-anterolateral-approach-watson-jones,1,0,0
unknown,ankle-anterolateral-approach,1,0,0
unknown,ankle-anterior-approach,1,0,0
unknown,radial-head-lateral-approach,1,0,0
unknown,collagen-adhesive-capsulitis-frozen,1,0,0
unknown,osteomyelitis-adult-exertional-compartment,1,0,0
