specialty,topic,questions,directTableMapped,productionEligibleMapped
pediatrics,physeal-considerations,14,0,0
basic-science,rickets,14,0,0
pediatrics,proximal-femur-fractures-pediatric,14,0,0
trauma,domestic-and-elder-abuse,14,0,0
trauma,brachial-plexus-injuries,14,0,0
hand,cubital-tunnel-syndrome,14,0,0
recon,high-tibial-osteotomy,14,0,0
pathology,biopsy-principles,14,0,0
shoulder-elbow,lateral-ulnar-collateral-ligament-injury-plri,14,0,0
recon,adult-hip-dysplasia,14,0,0
recon,tha-trunnionosis,14,0,0
foot-ankle,foot-muscle-forces-and-deformities,13,0,0
trauma,necrotizing-fasciitis,13,0,0
pathology,non-ossifying-fibroma,13,0,0
trauma,elbow-dislocation,13,0,0
hand,phalanx-dislocations,13,0,0
trauma,scapula-fractures,13,13,0
shoulder-elbow,internal-impingement,13,0,0
foot-ankle,achilles-tendonitis,13,0,0
shoulder-elbow,lateral-epicondylitis-tennis-elbow,13,0,0
recon,tha-pseudotumor-metal-on-metal-reactions,13,0,0
shoulder-elbow,elbow-arthritis,13,0,0
foot-ankle,interdigital-morton-s-neuroma,13,0,0
trauma,olecranon-fractures,12,12,0
trauma,capitellum-fractures,12,0,0
shoulder-elbow,scapular-winging,12,0,0
recon,hip-osteonecrosis,12,0,0
hand,scaphoid-lunate-advanced-collapse-slac,12,0,0
shoulder-elbow,multidirectional-shoulder-instability-mdi,12,0,0
hand,extremity-flap-reconstruction,12,0,0
trauma,sacral-fractures,12,0,0
spine,halo-orthosis-immobilization,12,0,0
pathology,chondroblastoma,12,0,0
foot-ankle,bunionette-deformity,12,0,0
trauma,coronoid-fractures,12,0,0
spine,congenital-scoliosis,11,0,0
recon,tka-coronal-plane-balancing,11,0,0
knee-sports,cardiac-conditions,11,0,0
basic-science,inheritance-patterns-orthopaedic-syndromes,11,0,0
basic-science,bone-signaling-and-rankl,11,0,0
trauma,subtalar-dislocations,11,0,0
recon,tha-prosthesis-design,11,0,0
pathology,heterotopic-ossification,11,0,0
basic-science,anti-inflammatory-medications,11,0,0
knee-sports,exertional-compartment-syndrome,11,0,0
pediatrics,distal-radius-fractures-pediatric,11,0,0
shoulder-elbow,glenohumeral-arthritis-shoulder-arthritis,11,0,0
recon,tka-extensor-mechanism-rupture,11,0,0
recon,hip-resurfacing,11,0,0
knee-sports,hip-arthroscopy,11,0,0
pathology,aneurysmal-bone-cyst,11,0,0
pediatrics,cerebral-palsy-general,11,0,0
pediatrics,lateral-condyle-fracture-pediatric,11,0,0
knee-sports,hamstring-injuries,11,0,0
pediatrics,tibial-tubercle-fracture,11,0,0
trauma,patella-fracture,11,0,0
pathology,multiple-myeloma,11,0,0
hand,radial-clubhand-radial-deficiency,11,0,0
pediatrics,myelodysplasia-myelomeningocele-spinal-bifida,11,0,0
knee-sports,infectious-diseases-in-athletes,11,0,0
shoulder-elbow,shoulder-prosthetic-joint-infection,11,0,0
pediatrics,accessory-navicular,10,0,0
spine,spinal-epidural-abscess,10,0,0
pediatrics,congenital-vertical-talus,10,0,0
trauma,humeral-shaft-nonunion,10,0,0
basic-science,genetic-pearls,10,0,0
foot-ankle,high-ankle-sprain-and-syndesmosis-injury,10,0,0
knee-sports,patellar-tendon-rupture,10,0,0
pediatrics,osteopetrosis,10,0,0
recon,tha-approaches,10,0,0
pathology,fibrous-dysplasia,10,0,0
spine,cervical-facet-dislocations-and-fractures,10,0,0
pediatrics,marfan-syndrome,10,0,0
pediatrics,cerebral-palsy-hip-conditions,10,0,0
hand,ganglion-cysts,10,0,0
recon,tha-iliopsoas-impingement,10,0,0
spine,adult-pyogenic-vertebral-osteomyelitis,10,0,0
shoulder-elbow,little-leaguer-s-shoulder,10,0,0
foot-ankle,total-ankle-arthroplasty,10,0,0
knee-sports,burners-and-stingers,9,0,0
shoulder-elbow,shoulder-hemiarthroplasty,9,0,0
knee-sports,posterolateral-corner-injury,9,0,0
hand,hook-hamate-fracture,9,0,0
basic-science,gout,9,0,0
foot-ankle,leg-nerve-entrapment-syndromes,9,0,0
recon,hip-osteoarthritis,9,0,0
shoulder-elbow,glenohumeral-joint-anatomy-stabilizer-and-biomechanics,9,0,0
recon,tka-approaches,9,0,0
basic-science,outcome-measure-tools,9,0,0
basic-science,occupational-health,9,0,0
