external_question_id,raw_specialty,normalized_specialty_slug,normalized_specialty_title,raw_topic_label,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,mapping_confidence,review_reason,suggested_action,review_group_key,source_anomaly_reason,row_number
OBQ11-238,Approaches,,,"Hip Direct Lateral Approach (Hardinge, Transgluteal)","Hip Direct Lateral Approach (Hardinge, Transgluteal)",hip-direct-lateral-approach-hardinge-transgluteal,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::hip-direct-lateral-approach-hardinge-transgluteal::source_anomaly,merged-specialty-topic,1980
OBQ11-266,Approaches,,,Posterior Approach to the Acetabulum (Kocher- Langenbeck),Posterior Approach to the Acetabulum (Kocher - Langenbeck),posterior-approach-to-the-acetabulum-kocher-langenbeck,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::posterior-approach-to-the-acetabulum-kocher-langenbeck::source_anomaly,merged-specialty-topic,2009
OBQ11-6,Approaches,,,Ankle Anterolateral Approach,Ankle Anterolateral Approach,ankle-anterolateral-approach,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ankle-anterolateral-approach::source_anomaly,merged-specialty-topic,2054
OBQ11-66,Approaches,,,Volar Approach to Radius (Henry),Volar Approach to Radius (Henry),volar-approach-to-radius-henry,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::volar-approach-to-radius-henry::source_anomaly,merged-specialty-topic,2061
OBQ12-271,Approaches,,,Extensile (extended iliofemoral) Approach to Acetabulum,Extensile (extended iliofemoral) Approach to Acetabulum,extensile-extended-iliofemoral-approach-to-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::extensile-extended-iliofemoral-approach-to-acetabulum::source_anomaly,merged-specialty-topic,2286
OBQ12-63,Approaches,,,Ilioinguinal Approach to the Acetabulum,Ilioinguinal Approach to the Acetabulum,ilioinguinal-approach-to-the-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ilioinguinal-approach-to-the-acetabulum::source_anomaly,merged-specialty-topic,2330
OBQ13-112,Approaches,,,Stoppa Approach to Acetabulum,Stoppa Approach to Acetabulum,stoppa-approach-to-acetabulum,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::stoppa-approach-to-acetabulum::source_anomaly,merged-specialty-topic,2384
OBQ13-207.1,Approaches,,,Ankle Anterior Approach,Ankle Anterior Approach,ankle-anterior-approach,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::ankle-anterior-approach::source_anomaly,merged-specialty-topic,2485
OBQ14-124,Approaches,,,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,Retroperitoneal (Anterolateral) Approach to the Lumbar Spine,retroperitoneal-anterolateral-approach-to-the-lumbar-spine,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::retroperitoneal-anterolateral-approach-to-the-lumbar-spine::source_anomaly,merged-specialty-topic,2664
OBQ17-183,Approaches,,,Radial Head Lateral Approach,Radial Head Lateral Approach,radial-head-lateral-approach,,,0.590,Specialty could not be normalized confidently.,Review specialty mapping manually.,orthobullets::unknown::radial-head-lateral-approach::source_anomaly,merged-specialty-topic,3419
