review_group_key,raw_specialty_labels,normalized_specialty_slug,normalized_specialty_title,raw_topic_labels,normalized_topic_label,normalized_topic_slug,canonical_topic_node_slug,canonical_topic_node_id,question_count,is_high_frequency_topic,mapping_confidence,review_reason,suggested_action,mapping_method,review_override_reason,representative_question_ids,quality_notes
orthobullets::trauma::femoral-shaft-fractures::accepted,Trauma,trauma,Trauma,Femoral Shaft Fractures,Femoral Shaft Fractures,femoral-shaft-fractures,trauma-femoral-shaft-fractures,,60,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-188 | OBQ04-204 | OBQ05-132 | OBQ05-189 | OBQ05-221 | OBQ05-57 | OBQ06-163 | OBQ06-33 | OBQ06-39 | OBQ06-41,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::supracondylar-fracture-pediatric::accepted,Pediatrics,pediatrics,Pediatrics,Supracondylar Fracture - Pediatric,Supracondylar Fracture - Pediatric,supracondylar-fracture-pediatric,pediatrics-supracondylar-fracture-pediatric,,58,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-12 | OBQ04-140 | OBQ04-225 | OBQ05-90 | OBQ06-227 | OBQ07-132 | OBQ07-179 | OBQ08-248 | OBQ11-228 | OBQ11-67,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::proximal-humerus-fractures::accepted,Trauma,trauma,Trauma,Proximal Humerus Fractures,Proximal Humerus Fractures,proximal-humerus-fractures,trauma-proximal-humerus-fractures,,57,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-271 | OBQ06-110 | OBQ07-5 | OBQ08-113 | OBQ08-157.1 | OBQ10-103 | OBQ10-135 | OBQ11-14 | OBQ11-218 | OBQ11-230,specialty:csv-normalized | topic:source-normalized
orthobullets::spine::cervical-myelopathy::accepted,Spine,spine,Spine,Cervical Myelopathy,Cervical Myelopathy,cervical-myelopathy,spine-cervical-myelopathy,,53,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-156 | OBQ04-205 | OBQ04-61 | OBQ05-92 | OBQ07-180 | OBQ07-189 | OBQ07-45 | OBQ08-106 | OBQ08-131 | OBQ09-253,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::hallux-valgus::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Hallux Valgus,Hallux Valgus,hallux-valgus,foot-ankle-hallux-valgus,,52,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-267 | OBQ07-237.1 | OBQ08-166 | OBQ08-211 | OBQ09-211 | OBQ10-138 | OBQ11-240 | OBQ13-106 | OBQ13-264 | OBQ14-1,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::posterior-tibial-tendon-insufficiency-ptti::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Posterior Tibial Tendon Insufficiency (PTTI),Posterior Tibial Tendon Insufficiency (PTTI),posterior-tibial-tendon-insufficiency-ptti,foot-ankle-posterior-tibial-tendon-insufficiency-ptti,,50,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-18 | OBQ05-33 | OBQ06-234 | OBQ06-48.1 | OBQ07-229 | OBQ07-258 | OBQ07-37 | OBQ07-72 | OBQ09-113 | OBQ09-114,specialty:csv-normalized | topic:source-normalized
orthobullets::spine::lumbar-disc-herniation::accepted,Spine,spine,Spine,Lumbar Disc Herniation,Lumbar Disc Herniation,lumbar-disc-herniation,spine-lumbar-disc-herniation,,49,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-167.1 | OBQ06-43 | OBQ08-158 | OBQ08-181 | OBQ08-240.1 | OBQ09-206.1 | OBQ10-18 | OBQ11-236 | OBQ11-65 | OBQ12-102,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::legal-considerations-in-orthopaedic-practice::accepted,Basic Science,basic-science,Basic Science,Legal Considerations in Orthopaedic Practice,Legal Considerations in Orthopaedic Practice,legal-considerations-in-orthopaedic-practice,basic-science-legal-considerations-in-orthopaedic-practice,,48,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-198.1 | OBQ05-263 | OBQ05-50.1 | OBQ06-164 | OBQ06-76 | OBQ07-109 | OBQ07-146 | OBQ07-267 | OBQ07-32 | OBQ07-61,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::calcaneus-fractures::accepted,Trauma,trauma,Trauma,Calcaneus Fractures,Calcaneus Fractures,calcaneus-fractures,trauma-calcaneus-fractures,,48,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-163 | OBQ04-261 | OBQ05-168 | OBQ06-126 | OBQ06-143.1 | OBQ06-272 | OBQ07-176 | OBQ07-183 | OBQ07-211 | OBQ07-269,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::evaluation-resuscitation-and-dco::accepted,Trauma,trauma,Trauma,"Evaluation, Resuscitation & DCO","Evaluation, Resuscitation & DCO",evaluation-resuscitation-and-dco,trauma-evaluation-resuscitation-and-dco,,48,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-141 | OBQ04-170 | OBQ04-80 | OBQ05-238 | OBQ05-38 | OBQ07-101 | OBQ07-171 | OBQ07-198 | OBQ07-225 | OBQ07-93,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::total-shoulder-arthroplasty::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Total Shoulder Arthroplasty,Total Shoulder Arthroplasty,total-shoulder-arthroplasty,shoulder-elbow-total-shoulder-arthroplasty,,47,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-124 | OBQ04-66 | OBQ06-153 | OBQ07-27 | OBQ08-12 | OBQ08-24 | OBQ09-219 | OBQ09-85.1 | OBQ11-252 | OBQ11-50,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::humeral-shaft-fractures::accepted,Trauma,trauma,Trauma,Humeral Shaft Fractures,Humeral Shaft Fractures,humeral-shaft-fractures,trauma-humeral-shaft-fractures,,47,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-111 | OBQ05-106 | OBQ05-110 | OBQ05-74 | OBQ07-265 | OBQ08-122 | OBQ08-177 | OBQ09-183 | OBQ09-188 | OBQ09-210,specialty:csv-normalized | topic:source-normalized
orthobullets::pathology::metastatic-disease-extremity::accepted,Pathology,pathology,Pathology,Metastatic Disease Extremity,Metastatic Disease Extremity,metastatic-disease-extremity,pathology-metastatic-disease-extremity,,46,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-150 | OBQ04-219.1 | OBQ04-252.1 | OBQ05-186 | OBQ05-244 | OBQ05-65 | OBQ06-109 | OBQ06-260 | OBQ06-40 | OBQ06-84,specialty:csv-normalized | topic:source-normalized
orthobullets::shoulder-elbow::reverse-shoulder-arthroplasty::accepted,Shoulder & Elbow,shoulder-elbow,Shoulder & Elbow,Reverse Shoulder Arthroplasty,Reverse Shoulder Arthroplasty,reverse-shoulder-arthroplasty,shoulder-elbow-reverse-shoulder-arthroplasty,,46,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-31 | OBQ08-199 | OBQ08-231 | OBQ08-73 | OBQ09-9 | OBQ10-274 | OBQ11-231 | OBQ11-87 | OBQ13-166 | OBQ14-215,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::statistic-definitions::accepted,Basic Science,basic-science,Basic Science,Statistic Definitions,Statistic Definitions,statistic-definitions,basic-science-statistic-definitions,,44,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-125 | OBQ05-18 | OBQ05-188 | OBQ06-50 | OBQ08-218 | OBQ08-71 | OBQ08-74 | OBQ09-185 | OBQ10-153 | OBQ10-207,specialty:csv-normalized | topic:source-normalized
orthobullets::recon::tha-periprosthetic-fracture::accepted,Recon,recon,Recon,THA Periprosthetic Fracture,THA Periprosthetic Fracture,tha-periprosthetic-fracture,recon-tha-periprosthetic-fracture,,44,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-232 | OBQ04-244 | OBQ05-124 | OBQ05-173 | OBQ06-180 | OBQ08-125 | OBQ08-268 | OBQ09-140 | OBQ10-108 | OBQ10-26,specialty:csv-normalized | topic:source-normalized
orthobullets::foot-ankle::ankle-sprain::accepted,Foot & Ankle,foot-ankle,Foot & Ankle,Ankle Sprain,Ankle Sprain,ankle-sprain,foot-ankle-ankle-sprain,,43,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-28 | OBQ05-197 | OBQ05-94 | OBQ06-19 | OBQ07-118.1 | OBQ10-134 | OBQ11-68 | OBQ12-121 | OBQ13-145 | OBQ13-69,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::osteomyelitis-pediatric::accepted,Pediatrics,pediatrics,Pediatrics,Osteomyelitis - Pediatric,Osteomyelitis - Pediatric,osteomyelitis-pediatric,pediatrics-osteomyelitis-pediatric,,43,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-149 | OBQ05-177 | OBQ06-131 | OBQ06-167 | OBQ06-216 | OBQ06-80 | OBQ07-151 | OBQ07-184 | OBQ07-232 | OBQ08-50,specialty:csv-normalized | topic:source-normalized
orthobullets::pediatrics::developmental-dysplasia-the-hip-ddh::accepted,Pediatrics,pediatrics,Pediatrics,Developmental Dysplasia the Hip (DDH),Developmental Dysplasia the Hip (DDH),developmental-dysplasia-the-hip-ddh,pediatrics-developmental-dysplasia-the-hip-ddh,,42,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-175 | OBQ04-215 | OBQ05-83.1 | OBQ08-150 | OBQ08-42 | OBQ09-87 | OBQ10-86 | OBQ11-187 | OBQ11-235 | OBQ11-249,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::amputations::accepted,Trauma,trauma,Trauma,Amputations,Amputations,amputations,trauma-amputations,,42,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ04-11 | OBQ04-227 | OBQ04-235 | OBQ04-275 | OBQ05-150 | OBQ05-271 | OBQ06-145 | OBQ06-218 | OBQ06-230 | OBQ06-36,specialty:csv-normalized | topic:source-normalized
orthobullets::basic-science::osteopenia-and-osteoporosis::accepted,Basic Science,basic-science,Basic Science,Osteopenia & Osteoporosis,Osteopenia & Osteoporosis,osteopenia-and-osteoporosis,basic-science-osteopenia-and-osteoporosis,,41,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ06-178 | OBQ06-58 | OBQ07-120 | OBQ07-158 | OBQ07-170 | OBQ07-261 | OBQ08-32 | OBQ08-96 | OBQ09-165 | OBQ09-33,specialty:csv-normalized | topic:source-normalized
orthobullets::trauma::distal-radius-fractures::accepted,Trauma | Trauma Knee & | Trauma Shoulder &,trauma,Trauma,Distal Radius Fractures,Distal Radius Fractures,distal-radius-fractures,trauma-distal-radius-fractures,,41,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-195 | OBQ05-25 | OBQ06-102 | OBQ06-136 | OBQ06-60 | OBQ07-226 | OBQ07-8 | OBQ08-179 | OBQ09-254 | OBQ10-127,specialty:csv-normalized | topic:source-normalized
orthobullets::spine::cervical-radiculopathy::accepted,Spine,spine,Spine,Cervical Radiculopathy,Cervical Radiculopathy,cervical-radiculopathy,spine-cervical-radiculopathy,,40,TRUE,1.000,,Auto-accept topic mapping.,import_rule,,OBQ05-119 | OBQ05-257 | OBQ06-175 | OBQ06-82.1 | OBQ07-148 | OBQ07-35 | OBQ09-199 | OBQ10-88 | OBQ12-192 | OBQ12-197,specialty:csv-normalized | topic:source-normalized
